TIMESTAMP,GLOBAL_Avg,DIRECT_Avg
2022-12-31 23:24:00,-1.93278,-0.181717
2022-12-31 23:25:00,-1.91567,-0.162354
2022-12-31 23:26:00,-1.9031,-0.184696
2022-12-31 23:27:00,-1.83802,-0.154906
2022-12-31 23:28:00,-1.80948,-0.172779
2022-12-31 23:29:00,-1.78551,-0.165332
2022-12-31 23:30:00,-1.80035,-0.178738
2022-12-31 23:31:00,-1.80607,-0.183207
2022-12-31 23:32:00,-1.8757,-0.199591
2022-12-31 23:33:00,-1.91679,-0.184695
2022-12-31 23:34:00,-1.95903,-0.180226
2022-12-31 23:35:00,-1.98643,-0.177247
2022-12-31 23:36:00,-1.9967,-0.148948
2022-12-31 23:37:00,-1.97616,-0.145969
2022-12-31 23:38:00,-2.00812,-0.178737
2022-12-31 23:39:00,-1.98643,-0.180226
2022-12-31 23:40:00,-1.96131,-0.178737
2022-12-31 23:41:00,-1.93619,-0.181716
2022-12-31 23:42:00,-1.96587,-0.181716
2022-12-31 23:43:00,-2.00583,-0.178737
2022-12-31 23:44:00,-1.92935,-0.177248
2022-12-31 23:45:00,-1.85514,-0.178737
2022-12-31 23:46:00,-1.83801,-0.178736
2022-12-31 23:47:00,-1.76951,-0.178736
2022-12-31 23:48:00,-1.77409,-0.181716
2022-12-31 23:49:00,-1.77067,-0.180227
2022-12-31 23:50:00,-1.7113,-0.178738
2022-12-31 23:51:00,-1.67134,-0.192143
2022-12-31 23:52:00,-1.64965,-0.190653
2022-12-31 23:53:00,-1.64851,-0.20108
2022-12-31 23:54:00,-1.68048,-0.207038
2022-12-31 23:55:00,-1.66792,-0.205549
2022-12-31 23:56:00,-1.72044,-0.232359
2022-12-31 23:57:00,-1.72956,-0.193632
2022-12-31 23:58:00,-1.7307,-0.175758
2022-12-31 23:59:00,-1.73413,-0.196611
2023-01-01 00:00:00,-1.73755,-0.175757
2023-01-01 00:01:00,-1.73298,-0.162352
2023-01-01 00:02:00,-1.75923,-0.180226
2023-01-01 00:03:00,-1.84714,-0.177247
2023-01-01 00:04:00,-1.90651,-0.159373
2023-01-01 00:05:00,-1.99099,-0.129584
2023-01-01 00:06:00,-1.9887,-0.108731
2023-01-01 00:07:00,-2.04578,-0.134052
2023-01-01 00:08:00,-2.03665,-0.110221
2023-01-01 00:09:00,-1.96131,-0.132563
2023-01-01 00:10:00,-1.92135,-0.142989
2023-01-01 00:11:00,-1.92706,-0.157884
2023-01-01 00:12:00,-1.91793,-0.151926
2023-01-01 00:13:00,-1.90308,-0.150437
2023-01-01 00:14:00,-1.86427,-0.134053
2023-01-01 00:15:00,-1.88026,-0.181717
2023-01-01 00:16:00,-1.95904,-0.20108
2023-01-01 00:17:00,-1.99671,-0.150438
2023-01-01 00:18:00,-1.98644,-0.135543
2023-01-01 00:19:00,-1.93392,-0.14448
2023-01-01 00:20:00,-1.92135,-0.154905
2023-01-01 00:21:00,-1.92934,-0.165331
2023-01-01 00:22:00,-1.98643,-0.178738
2023-01-01 00:23:00,-2.03438,-0.196611
2023-01-01 00:24:00,-2.00355,-0.162353
2023-01-01 00:25:00,-1.92935,-0.1415
2023-01-01 00:26:00,-1.90422,-0.151926
2023-01-01 00:27:00,-1.85285,-0.16682
2023-01-01 00:28:00,-1.78207,-0.199589
2023-01-01 00:29:00,-1.74325,-0.241294
2023-01-01 00:30:00,-1.79577,-0.257679
2023-01-01 00:31:00,-1.83915,-0.229379
2023-01-01 00:32:00,-1.84144,-0.223421
2023-01-01 00:33:00,-1.85514,-0.235338
2023-01-01 00:34:00,-1.89852,-0.196611
2023-01-01 00:35:00,-1.95446,-0.177247
2023-01-01 00:36:00,-1.92934,-0.138521
2023-01-01 00:37:00,-1.92136,-0.1415
2023-01-01 00:38:00,-1.90423,-0.150437
2023-01-01 00:39:00,-1.90993,-0.156394
2023-01-01 00:40:00,-1.87339,-0.156394
2023-01-01 00:41:00,-1.84714,-0.183204
2023-01-01 00:42:00,-1.81061,-0.177247
2023-01-01 00:43:00,-1.80148,-0.156395
2023-01-01 00:44:00,-1.7444,-0.137032
2023-01-01 00:45:00,-1.71244,-0.168311
2023-01-01 00:46:00,-1.67248,-0.172779
2023-01-01 00:47:00,-1.64394,-0.181716
2023-01-01 00:48:00,-1.64394,-0.210016
2023-01-01 00:49:00,-1.64394,-0.217464
2023-01-01 00:50:00,-1.64051,-0.195121
2023-01-01 00:51:00,-1.5686,-0.151927
2023-01-01 00:52:00,-1.57202,-0.248743
2023-01-01 00:53:00,-1.81519,-0.202569
2023-01-01 00:54:00,-1.91679,-0.0834107
2023-01-01 00:55:00,-1.83687,-0.0446843
2023-01-01 00:56:00,-1.86542,-0.1132
2023-01-01 00:57:00,-1.87112,-0.132563
2023-01-01 00:58:00,-1.90422,-0.142989
2023-01-01 00:59:00,-1.91449,-0.16831
2023-01-01 01:00:00,-1.89737,-0.1698
2023-01-01 01:01:00,-1.96702,-0.187674
2023-01-01 01:02:00,-2.05035,-0.150436
2023-01-01 01:03:00,-2.07318,-0.137031
2023-01-01 01:04:00,-2.08345,-0.171289
2023-01-01 01:05:00,-2.02409,-0.145968
2023-01-01 01:06:00,-1.96359,-0.166821
2023-01-01 01:07:00,-1.94418,-0.1698
2023-01-01 01:08:00,-1.89966,-0.1698
2023-01-01 01:09:00,-1.846,-0.187673
2023-01-01 01:10:00,-1.81175,-0.205546
2023-01-01 01:11:00,-1.88367,-0.212994
2023-01-01 01:12:00,-1.86655,-0.144479
2023-01-01 01:13:00,-1.83002,-0.162353
2023-01-01 01:14:00,-1.84943,-0.175758
2023-01-01 01:15:00,-1.86085,-0.156395
2023-01-01 01:16:00,-1.84486,-0.147458
2023-01-01 01:17:00,-1.86313,-0.186185
2023-01-01 01:18:00,-1.85742,-0.175758
2023-01-01 01:19:00,-1.93848,-0.160863
2023-01-01 01:20:00,-1.983,-0.114689
2023-01-01 01:21:00,-2.02752,-0.104263
2023-01-01 01:22:00,-1.97387,-0.122137
2023-01-01 01:23:00,-1.94647,-0.140011
2023-01-01 01:24:00,-1.97843,-0.153416
2023-01-01 01:25:00,-1.99213,-0.159374
2023-01-01 01:26:00,-2.04579,-0.151926
2023-01-01 01:27:00,-2.0024,-0.1415
2023-01-01 01:28:00,-2.00126,-0.159373
2023-01-01 01:29:00,-1.88253,-0.150436
2023-01-01 01:30:00,-1.87454,-0.193631
2023-01-01 01:31:00,-1.79234,-0.177246
2023-01-01 01:32:00,-1.79234,-0.205546
2023-01-01 01:33:00,-1.79577,-0.214484
2023-01-01 01:34:00,-1.71928,-0.204057
2023-01-01 01:35:00,-1.71128,-0.215973
2023-01-01 01:36:00,-1.77636,-0.214484
2023-01-01 01:37:00,-1.74668,-0.207036
2023-01-01 01:38:00,-1.80491,-0.221932
2023-01-01 01:39:00,-1.92136,-0.220443
2023-01-01 01:40:00,-1.98072,-0.160864
2023-01-01 01:41:00,-2.02639,-0.137032
2023-01-01 01:42:00,-2.08461,-0.134053
2023-01-01 01:43:00,-2.12343,-0.117669
2023-01-01 01:44:00,-2.06863,-0.0893689
2023-01-01 01:45:00,-2.04809,-0.134053
2023-01-01 01:46:00,-2.05494,-0.138522
2023-01-01 01:47:00,-2.04351,-0.151927
2023-01-01 01:48:00,-1.98985,-0.154905
2023-01-01 01:49:00,-1.92478,-0.181716
2023-01-01 01:50:00,-1.85172,-0.215974
2023-01-01 01:51:00,-1.79806,-0.221933
2023-01-01 01:52:00,-1.76153,-0.211506
2023-01-01 01:53:00,-1.717,-0.211505
2023-01-01 01:54:00,-1.71015,-0.207036
2023-01-01 01:55:00,-1.68161,-0.205548
2023-01-01 01:56:00,-1.65993,-0.20108
2023-01-01 01:57:00,-1.65422,-0.212996
2023-01-01 01:58:00,-1.6782,-0.220444
2023-01-01 01:59:00,-1.65422,-0.193633
2023-01-01 02:00:00,-1.68276,-0.189164
2023-01-01 02:01:00,-1.64508,-0.178738
2023-01-01 02:02:00,-1.60056,-0.17129
2023-01-01 02:03:00,-1.61083,-0.156395
2023-01-01 02:04:00,-1.59599,-0.137032
2023-01-01 02:05:00,-1.58686,-0.137032
2023-01-01 02:06:00,-1.58344,-0.150437
2023-01-01 02:07:00,-1.60626,-0.181716
2023-01-01 02:08:00,-1.65878,-0.162353
2023-01-01 02:09:00,-1.64964,-0.153415
2023-01-01 02:10:00,-1.63023,-0.198099
2023-01-01 02:11:00,-1.69986,-0.208525
2023-01-01 02:12:00,-1.709,-0.184694
2023-01-01 02:13:00,-1.72043,-0.142989
2023-01-01 02:14:00,-1.74098,-0.132563
2023-01-01 02:15:00,-1.78435,-0.134052
2023-01-01 02:16:00,-1.85057,-0.131074
2023-01-01 02:17:00,-1.85057,-0.101284
2023-01-01 02:18:00,-1.88711,-0.120648
2023-01-01 02:19:00,-1.95219,-0.113201
2023-01-01 02:20:00,-1.96018,-0.089369
2023-01-01 02:21:00,-1.98187,-0.113201
2023-01-01 02:22:00,-1.98644,-0.125116
2023-01-01 02:23:00,-1.97272,-0.126605
2023-01-01 02:24:00,-1.97957,-0.135542
2023-01-01 02:25:00,-1.92477,-0.134052
2023-01-01 02:26:00,-1.93505,-0.1415
2023-01-01 02:27:00,-1.91108,-0.138522
2023-01-01 02:28:00,-1.78551,-0.120648
2023-01-01 02:29:00,-1.66335,-0.145969
2023-01-01 02:30:00,-1.6154,-0.208527
2023-01-01 02:31:00,-1.53777,-0.204058
2023-01-01 02:32:00,-1.47498,-0.207038
2023-01-01 02:33:00,-1.40306,-0.1981
2023-01-01 02:34:00,-1.39278,-0.215974
2023-01-01 02:35:00,-1.37223,-0.215974
2023-01-01 02:36:00,-1.3768,-0.208526
2023-01-01 02:37:00,-1.39391,-0.181714
2023-01-01 02:38:00,-1.40533,-0.13852
2023-01-01 02:39:00,-1.43614,-0.132561
2023-01-01 02:40:00,-1.47838,-0.13703
2023-01-01 02:41:00,-1.50008,-0.134052
2023-01-01 02:42:00,-1.52063,-0.134052
2023-01-01 02:43:00,-1.54232,-0.125115
2023-01-01 02:44:00,-1.56402,-0.132562
2023-01-01 02:45:00,-1.61425,-0.120647
2023-01-01 02:46:00,-1.64279,-0.123626
2023-01-01 02:47:00,-1.65535,-0.120647
2023-01-01 02:48:00,-1.67475,-0.129584
2023-01-01 02:49:00,-1.70558,-0.126605
2023-01-01 02:50:00,-1.74782,-0.129584
2023-01-01 02:51:00,-1.77522,-0.135542
2023-01-01 02:52:00,-1.81061,-0.14001
2023-01-01 02:53:00,-1.80033,-0.137031
2023-01-01 02:54:00,-1.7775,-0.145968
2023-01-01 02:55:00,-1.81175,-0.184694
2023-01-01 02:56:00,-1.84943,-0.159373
2023-01-01 02:57:00,-1.86199,-0.163842
2023-01-01 02:58:00,-1.88824,-0.177247
2023-01-01 02:59:00,-1.91222,-0.166821
