TIMESTAMP,GLOBAL_Avg,DIRECT_Avg,DIFFUSE_Avg,GH_CALC_Avg,percent
2022-12-31 21:13:00,-1.98304,-0.0700068,-2.66776,-2.66776,-0.026161381443502576
2022-12-31 21:14:00,-1.95679,-0.0521329,-2.61189,-2.61189,-0.025733070126764363
2022-12-31 21:15:00,-1.95223,-0.134056,-2.59193,-2.59193,-0.02492357091284847
2022-12-31 21:16:00,-1.94994,-0.157889,-2.59459,-2.59459,-0.02476891213462045
2022-12-31 21:17:00,-1.94081,-0.169804,-2.60124,-2.60124,-0.02474205814354659
2022-12-31 21:18:00,-1.95451,-0.177252,-2.6518,-2.6518,-0.025187227212460195
2022-12-31 21:19:00,-1.95109,-0.165336,-2.66245,-2.66245,-0.025378816092211088
2022-12-31 21:20:00,-1.93396,-0.15491,-2.61056,-2.61056,-0.024934406505754576
2022-12-31 21:21:00,-1.94195,-0.169805,-2.61721,-2.61721,-0.02488384210373403
2022-12-31 21:22:00,-1.91455,-0.15193,-2.59326,-2.59326,-0.024775990221894528
2022-12-31 21:23:00,-1.92711,-0.163846,-2.59459,-2.59459,-0.024694303108364596
2022-12-31 21:24:00,-1.92482,-0.175762,-2.59325,-2.59325,-0.024585335966006112
2022-12-31 21:25:00,-1.92482,-0.172783,-2.59059,-2.59059,-0.024577124986532767
2022-12-31 21:26:00,-1.88486,-0.156398,-2.53603,-2.53603,-0.024153546674046584
2022-12-31 21:27:00,-1.85632,-0.157888,-2.46951,-2.46951,-0.023472828051182237
2022-12-31 21:28:00,-1.81636,-0.166825,-2.39766,-2.39766,-0.022680914528733886
2022-12-31 21:29:00,-1.81065,-0.177251,-2.39233,-2.39233,-0.02254216770043979
2022-12-31 21:30:00,-1.8232,-0.169803,-2.40829,-2.40829,-0.022755559013094593
2022-12-31 21:31:00,-1.81635,-0.151929,-2.40164,-2.40164,-0.0228250015514414
2022-12-31 21:32:00,-1.84833,-0.169804,-2.42826,-2.42826,-0.02294681015037351
2022-12-31 21:33:00,-1.84033,-0.108734,-2.44156,-2.44156,-0.023557539025975113
2022-12-31 21:34:00,-1.82321,-0.080433,-2.40297,-2.40297,-0.0233930034065332
2022-12-31 21:35:00,-1.77184,-0.104265,-2.34443,-2.34443,-0.0226164016611943
